3.6057e+00	1.0512e+00	3.2703e+00
1.0615e+00	2.8703e+00	3.3716e+00
1.2827e+00	1.5563e+00	2.4789e+00
4.3068e+00	3.7209e+00	7.9837e-01
1.2979e+00	1.2278e+00	3.3813e+00
3.9599e+00	9.7042e-01	3.3415e+00
3.2215e+00	4.7357e+00	1.0560e+00
6.0907e+00	3.2747e+00	2.2943e-01
1.4419e+00	1.2421e+00	2.8502e+00
2.6721e+00	2.3580e+00	1.7721e+00
7.3654e+00	2.6205e+00	7.8954e-02
5.1154e-01	7.3993e+00	2.3725e+00
3.1373e+00	3.4278e+00	1.4341e+00
1.2688e+00	1.6580e+00	2.4876e+00
8.4911e+00	8.5866e-01	1.1171e+00
3.2485e+00	6.1819e+00	1.9152e-01
1.9067e+00	6.1213e-02	8.1533e+00
3.1733e+00	6.0880e+00	4.1928e-01
3.0851e+00	3.1739e+00	1.5105e+00
4.6156e+00	3.9809e+00	3.4533e-01
3.4372e+00	5.0613e+00	6.9745e-01
4.2365e+00	4.5276e+00	1.1205e-01
4.3691e+00	4.4035e+00	8.7874e-02
3.1464e+00	2.1243e-02	6.5054e+00
3.7719e+00	2.7827e+00	1.5585e+00
8.8386e+00	4.3236e-01	9.8787e-01
2.7289e+00	5.8720e+00	1.1711e+00
1.3021e+00	1.3391e+00	2.8427e+00
9.3981e-01	3.2889e+00	3.6051e+00
3.8258e+00	3.3883e+00	1.2118e+00
1.9565e+00	2.0483e+00	1.8717e+00
2.0130e+00	2.1987e+00	1.8581e+00
4.4300e+00	2.5529e+00	1.6806e+00
1.2255e+00	1.8442e+00	2.6645e+00
4.2174e+00	7.4410e-01	3.6014e+00
4.3728e-02	4.4611e+00	4.3346e+00
3.4191e+00	5.9798e+00	4.1896e-02
2.6348e+00	2.4035e+00	1.7605e+00
5.2546e+00	2.4406e+00	1.6712e+00
7.5285e-01	5.6917e-02	8.8818e+00
1.2443e+00	1.5366e+00	2.6727e+00
4.8202e+00	3.8857e+00	2.9474e-01
2.3987e+00	2.2279e+00	1.8085e+00
5.3247e+00	2.9761e+00	1.1074e+00
2.0563e+00	9.5251e-01	4.4152e+00
2.7854e+00	3.1506e+00	1.6099e+00
9.5328e-02	2.4653e+00	7.4459e+00
3.4096e+00	4.5565e+00	9.4883e-01
8.7384e-01	3.1018e+00	3.9260e+00
7.5175e-01	4.6205e+00	3.4442e+00
1.7870e+00	1.8562e+00	1.9173e+00
3.0484e+00	1.1334e+00	3.1434e+00
3.8334e+00	3.6215e+00	1.0849e+00
1.3914e+00	1.7472e+00	2.1885e+00
1.0435e+00	2.4083e+00	3.6085e+00
4.4905e+00	3.6444e+00	7.6940e-01
4.0727e+00	3.0038e+00	1.3842e+00
1.5109e+00	1.1932e+00	3.0443e+00
3.9904e+00	4.1338e+00	6.9297e-01
1.1297e+00	2.5162e+00	3.1638e+00
4.0162e+00	2.8025e-01	4.4876e+00
4.5845e+00	3.9757e+00	3.7690e-01
1.1859e-01	2.1793e-01	6.8799e+00
9.0418e-01	3.5416e+00	3.5884e+00
3.9309e+00	5.7948e-02	4.9668e+00
2.4662e+00	7.3946e+00	3.6336e-01
