6.5907e+00	1.9214e+00
2.1020e+00	5.6837e+00
2.0246e+00	2.4564e+00
2.1244e+00	5.5020e+00
2.3502e+00	2.0305e+00
2.1906e+00	2.0722e+00
2.1688e+00	4.9082e+00
7.1378e+00	1.7492e+00
5.9760e+00	2.0568e+00
2.7140e+00	2.0369e+00
2.1243e+00	3.5395e+00
2.0715e+00	3.0452e+00
5.7054e+00	2.0991e+00
4.0184e+00	2.1605e+00
6.4183e+00	1.9652e+00
6.1271e+00	2.0287e+00
6.4908e+00	1.9473e+00
7.3778e+00	1.6560e+00
2.3562e+00	2.0298e+00
2.3077e+00	2.0364e+00
2.0245e+00	2.4676e+00
5.8429e+00	2.0788e+00
6.2101e-01	8.9827e+00
2.0519e+00	2.2419e+00
2.0323e+00	2.6557e+00
2.0298e+00	2.6206e+00
2.0998e+00	3.2994e+00
2.0780e+00	3.1031e+00
8.6949e+00	8.7927e-01
6.4423e+00	1.9594e+00
3.6917e+00	2.1378e+00
2.1656e+00	4.1212e+00
9.2786e+00	2.9789e-01
2.1039e+00	5.6697e+00
2.1672e+00	4.1578e+00
2.0938e+00	2.1541e+00
2.3537e+00	2.0301e+00
2.0722e+00	3.0513e+00
2.0648e+00	2.2067e+00
2.1157e+00	3.4520e+00
2.1132e+00	2.1299e+00
2.1513e+00	3.8697e+00
9.4563e+00	6.3846e-02
2.1460e+00	3.7949e+00
2.7676e+00	2.0418e+00
9.1495e+00	4.4756e-01
2.1748e+00	4.6797e+00
2.0941e+00	2.1537e+00
1.9028e+00	6.6588e+00
2.1536e+00	5.1833e+00
2.3007e+00	2.0376e+00
2.0794e+00	2.1770e+00
2.0520e+00	2.2414e+00
2.4733e+00	2.0245e+00
3.7127e+00	2.1395e+00
2.0813e+00	3.1320e+00
7.9211e+00	1.3975e+00
9.2492e-02	9.4360e+00
2.1331e+00	3.6369e+00
6.0553e+00	2.0424e+00
2.1423e+00	3.7468e+00
2.2474e+00	2.0502e+00
2.0638e+00	2.9773e+00
4.6824e+00	2.1748e+00
3.5334e+00	2.1237e+00
8.9268e+00	6.7488e-01
2.0247e+00	2.5003e+00
2.5119e+00	2.0250e+00
2.2181e+00	2.0602e+00
3.8461e+00	2.1497e+00
4.6947e+00	2.1746e+00
2.0370e+00	2.3041e+00
2.0995e+00	3.2964e+00
2.1665e+00	4.1396e+00
3.5688e-01	9.2293e+00
2.0377e+00	2.7232e+00
1.8893e+00	6.7064e+00
1.3131e+00	8.0705e+00
3.8574e+00	2.1505e+00
2.7267e+00	2.0380e+00
2.0856e+00	2.1665e+00
5.6618e+00	2.1050e+00
2.1925e+00	2.0713e+00
2.0259e+00	2.5438e+00
4.4078e+00	2.1744e+00
2.1649e+00	4.9966e+00
